order_id,order_status,order_purchase_timestamp,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay_days,shipping_time_days,shipping_carrier,return_status
10001,delivered,2024-05-20 10:58:00,2024-05-28 10:58:00,2024-05-29 10:58:00,0.0,8.0,In-House,Not Returned
10002,delivered,2024-10-29 12:44:00,2024-11-06 12:44:00,2024-11-08 12:44:00,0.0,8.0,In-House,Not Returned
10003,delivered,2024-09-15 19:23:00,2024-09-24 19:23:00,2024-09-22 19:23:00,2.0,9.0,In-House,Not Returned
10004,delivered,2024-08-17 13:28:00,2024-08-18 13:28:00,2024-08-20 13:28:00,0.0,1.0,DHL,Not Returned
10005,delivered,2024-06-23 20:09:00,2024-06-29 20:09:00,2024-07-02 20:09:00,0.0,6.0,In-House,Not Returned
10006,delivered,2024-02-17 17:48:00,2024-02-27 17:48:00,2024-02-26 17:48:00,1.0,10.0,In-House,Not Returned
10007,delivered,2024-08-23 13:55:00,2024-08-28 13:55:00,2024-08-29 13:55:00,0.0,5.0,In-House,Not Returned
10008,delivered,2024-11-17 12:36:00,2024-11-23 12:36:00,2024-11-25 12:36:00,0.0,6.0,In-House,Not Returned
10009,cancelled,2024-01-24 19:55:00,,2024-02-02 19:55:00,,,In-House,
10010,cancelled,2024-02-21 10:41:00,,2024-02-24 10:41:00,,,In-House,
10011,delivered,2024-07-08 16:06:00,2024-07-12 16:06:00,2024-07-15 16:06:00,0.0,4.0,In-House,Not Returned
10012,delivered,2024-09-30 19:46:00,2024-10-03 19:46:00,2024-10-04 19:46:00,0.0,3.0,FedEx,Not Returned
10013,delivered,2024-11-23 19:06:00,2024-12-04 19:06:00,2024-12-01 19:06:00,3.0,11.0,In-House,Not Returned
10014,delivered,2024-04-27 18:05:00,2024-05-04 18:05:00,2024-05-04 18:05:00,0.0,7.0,In-House,Not Returned
10015,delivered,2024-04-18 17:44:00,2024-04-27 17:44:00,2024-04-24 17:44:00,3.0,9.0,In-House,Not Returned
10016,delivered,2024-07-21 10:10:00,2024-07-28 10:10:00,2024-07-28 10:10:00,0.0,7.0,In-House,Not Returned
10017,delivered,2024-10-14 19:14:00,2024-10-18 19:14:00,2024-10-19 19:14:00,0.0,4.0,In-House,Not Returned
10018,delivered,2024-07-04 19:25:00,2024-07-09 19:25:00,2024-07-11 19:25:00,0.0,5.0,In-House,Not Returned
10019,delivered,2024-02-16 09:29:00,2024-02-21 09:29:00,2024-02-23 09:29:00,0.0,5.0,In-House,Not Returned
10020,delivered,2024-12-14 17:44:00,2024-12-24 17:44:00,2024-12-23 17:44:00,1.0,10.0,In-House,Not Returned
10021,delivered,2024-09-27 10:28:00,2024-10-07 10:28:00,2024-10-06 10:28:00,1.0,10.0,In-House,Not Returned
10022,delivered,2024-11-24 09:35:00,2024-11-26 09:35:00,2024-11-28 09:35:00,0.0,2.0,In-House,Not Returned
10023,delivered,2024-01-02 20:24:00,2024-01-07 20:24:00,2024-01-09 20:24:00,0.0,5.0,In-House,Not Returned
10024,delivered,2024-09-16 17:51:00,2024-09-18 17:51:00,2024-09-21 17:51:00,0.0,2.0,In-House,Not Returned
10025,delivered,2024-03-19 17:45:00,2024-03-30 17:45:00,2024-03-28 17:45:00,2.0,11.0,In-House,Not Returned
10026,delivered,2024-11-02 09:53:00,2024-11-11 09:53:00,2024-11-10 09:53:00,1.0,9.0,In-House,Not Returned
10027,delivered,2024-05-02 18:13:00,2024-05-09 18:13:00,2024-05-12 18:13:00,0.0,7.0,In-House,Not Returned
10028,delivered,2024-09-05 11:15:00,2024-09-12 11:15:00,2024-09-15 11:15:00,0.0,7.0,In-House,Not Returned
10029,delivered,2024-12-03 18:15:00,2024-12-12 18:15:00,2024-12-13 18:15:00,0.0,9.0,In-House,Not Returned
10030,delivered,2024-04-18 13:12:00,2024-04-26 13:12:00,2024-04-28 13:12:00,0.0,8.0,In-House,Not Returned
10031,delivered,2024-07-23 11:15:00,2024-07-24 11:15:00,2024-07-26 11:15:00,0.0,1.0,In-House,Returned
10032,delivered,2024-03-02 14:36:00,2024-03-10 14:36:00,2024-03-11 14:36:00,0.0,8.0,In-House,Not Returned
10033,delivered,2024-10-28 09:12:00,2024-10-31 09:12:00,2024-11-03 09:12:00,0.0,3.0,In-House,Returned
10034,delivered,2024-02-04 17:26:00,2024-02-12 17:26:00,2024-02-11 17:26:00,1.0,8.0,In-House,Not Returned
10035,delivered,2024-05-22 10:09:00,2024-05-29 10:09:00,2024-05-31 10:09:00,0.0,7.0,In-House,Not Returned
10036,delivered,2024-05-04 11:01:00,2024-05-05 11:01:00,2024-05-07 11:01:00,0.0,1.0,In-House,Not Returned
10037,delivered,2024-02-19 12:44:00,2024-02-22 12:44:00,2024-02-25 12:44:00,0.0,3.0,In-House,Not Returned
10038,delivered,2024-01-28 13:12:00,2024-02-06 13:12:00,2024-02-06 13:12:00,0.0,9.0,In-House,Not Returned
10039,delivered,2024-07-25 12:26:00,2024-07-30 12:26:00,2024-07-31 12:26:00,0.0,5.0,In-House,Not Returned
10040,delivered,2024-04-07 13:10:00,2024-04-10 13:10:00,2024-04-12 13:10:00,0.0,3.0,In-House,Not Returned
10041,delivered,2024-08-24 11:53:00,2024-09-03 11:53:00,2024-09-01 11:53:00,2.0,10.0,In-House,Not Returned
10042,delivered,2024-01-26 15:48:00,2024-02-03 15:48:00,2024-02-01 15:48:00,2.0,8.0,In-House,Not Returned
10043,delivered,2024-03-26 13:28:00,2024-04-03 13:28:00,2024-04-01 13:28:00,2.0,8.0,In-House,Not Returned
10044,delivered,2024-03-25 18:38:00,2024-04-02 18:38:00,2024-04-03 18:38:00,0.0,8.0,In-House,Not Returned
10045,delivered,2024-05-26 09:09:00,2024-05-29 09:09:00,2024-05-30 09:09:00,0.0,3.0,In-House,Not Returned
